MLP,KNN,DT,RF,GB,QDA,EIRT
0.77,0.78,0.726,0.781,0.786,0.8,0.835
0.641,0.671,0.605,0.671,0.674,0.675,0.752
0.802,0.806,0.74,0.831,0.828,0.564,0.855
0.863,0.861,0.84,0.871,0.875,0.871,0.899
0.847,0.841,0.854,0.862,0.856,0.8,0.915
0.72,0.72,0.697,0.728,0.714,0.659,0.852
0.826,0.842,0.815,0.855,0.853,0.537,0.883
0.892,0.888,0.892,0.902,0.898,0.874,0.929
0.9,0.859,0.872,0.878,0.893,0.82,0.952
0.827,0.764,0.762,0.778,0.812,0.706,0.919
0.843,0.836,0.835,0.863,0.873,0.619,0.895
0.924,0.9,0.907,0.913,0.921,0.881,0.949
